date,코스피/코스닥,주택가격지수,국내공급물가지수-생산재건설용,국제상품가격-WTI원유,생산자물가지수-포틀랜드시멘트,국제상품가격-알루미늄,마감
2000-01-01,39.09,48.54,54.8,47.16,68.55,94.74,50.69
2000-02-01,39.09,48.74,54.94,50.87,68.55,94.72,50.69
2000-03-01,40.63,48.95,54.8,51.78,68.55,89.09,50.78
2000-04-01,34.23,49,54.73,44.7,68.55,82.27,50.78
2000-05-01,34.54,48.95,54.87,49.95,68.55,82.8,50.87
2000-06-01,38.75,48.79,55.01,55.2,68.55,85.13,51
2000-07-01,33.32,48.79,55.23,51.94,68.55,88.23,50.98
2000-08-01,32.5,48.9,55.37,54.09,68.55,86.31,51.09
2000-09-01,28.94,49,55.52,58.66,68.55,90.37,51.17
2000-10-01,24.28,49.05,55.66,57.31,68.55,84.67,51.16
2000-11-01,24.03,48.9,55.73,59.88,74.53,83.22,51.26
2000-12-01,23.81,48.59,55.87,49.19,77.72,88.49,51.25
2001-01-01,29.16,48.54,56.16,51.07,75.1,91.36,51.16
2001-02-01,27.28,48.69,56.22,51.25,75.1,90.63,51.28
2001-03-01,24.69,49,56.65,47.19,75.1,85.28,51.38
2001-04-01,27.25,49.32,56.94,47.56,75.1,84.57,51.41
2001-05-01,28.89,49.68,57.09,49.57,75.1,86.99,51.49
2001-06-01,28.09,50.09,56.94,47.82,75.1,82.95,51.52
2001-07-01,25.56,50.71,56.65,45.81,75.1,80.01,51.55
2001-08-01,25.72,51.68,56.51,47.59,75.1,77.71,51.62
2001-09-01,22.64,52.51,56.44,45.41,75.1,75.91,51.7
2001-10-01,25.38,52.76,56.37,38.48,75.1,72.39,51.76
2001-11-01,30.39,52.97,56.37,33.92,75.1,75.26,51.89
2001-12-01,32.74,53.39,56.44,33.47,75.1,76.07,51.86
2002-01-01,35.3,54.78,56.44,33.97,75.1,77.34,51.88
2002-02-01,38.7,56.17,56.94,36,75.1,77.33,52.2
2002-03-01,42.26,57.47,57.16,42.46,77.63,79.24,52.45
2002-04-01,39.75,58.03,57.81,45.51,77.63,77.29,52.76
2002-05-01,37.58,58.39,57.87,46.78,78.37,75.82,53.07
2002-06-01,35.05,58.65,58.59,44.21,78.37,76.53,53.42
2002-07-01,33.88,59.21,58.52,46.66,77.63,75.45,53.69
2002-08-01,34.75,60.24,58.59,49.17,77.63,72.94,54.07
2002-09-01,30.51,61.69,58.52,51.33,79.68,73.41,54.42
2002-10-01,31.1,62,58.66,49.98,79.68,73.96,54.71
2002-11-01,34.2,62.05,58.59,45.6,79.68,77.45,54.94
2002-12-01,29.62,62.16,58.52,51.2,79.68,77.6,55.2
2003-01-01,27.93,62.1,59.02,57.02,79.6,77.79,55.47
2003-02-01,27.16,62.41,59.52,62.23,79.6,80.17,55.82
2003-03-01,25.28,62.88,60.53,57.55,80.34,78.2,55.93
2003-04-01,28.28,63.44,61.39,49.13,81.9,75.25,56.13
2003-05-01,29.89,64.48,61.17,48.89,81.9,78.98,56.22
2003-06-01,31.62,64.94,61.17,53.22,81.9,79.55,56.32
2003-07-01,33.67,65.09,61.11,53.27,81.9,81.26,56.3
2003-08-01,35.84,65.3,61.33,54.73,81.9,82.19,56.39
2003-09-01,32.92,65.85,61.39,49.29,81.9,79.89,56.49
2003-10-01,36.92,66.5,61.54,52.55,81.9,83.31,56.68
2003-11-01,37.57,66.27,61.88,53.64,81.9,85.25,56.87
2003-12-01,38.26,65.72,62.17,55.79,81.9,87.86,57.2
2004-01-01,40.04,65.46,63.4,59.16,81.9,90.74,57.89
2004-02-01,41.69,65.58,65.9,60.15,81.9,95.04,58.51
2004-03-01,41.55,65.72,68.12,63.69,81.9,93.47,59.45
2004-04-01,40.72,65.83,68.9,63.62,81.9,97.66,60.03
2004-05-01,37.93,65.82,70.2,69.77,81.9,91.66,60.51
2004-06-01,37.08,65.65,70.06,65.9,81.9,94.86,60.68
2004-07-01,34.7,65.47,70.06,70.5,81.9,96.32,60.75
2004-08-01,37.92,65.21,70.12,77.86,81.9,95.43,60.88
2004-09-01,39.41,65.07,70.41,79.45,81.9,97.63,61.08
2004-10-01,39.4,64.92,71.2,92.12,81.9,103.23,61.06
2004-11-01,41.44,64.64,71.63,84.08,81.9,102.5,61.22
2004-12-01,42.28,64.36,71.48,74.98,81.9,104.5,61.28
2005-01-01,44.02,64.19,71.56,81.41,81.9,103.56,61.45
2005-02-01,47.73,64.39,71.85,83.14,81.9,106.19,61.59
2005-03-01,45.57,64.64,72.06,93.71,81.9,112.09,61.52
2005-04-01,43.01,65.01,72.14,91.89,81.9,106.71,61.6
2005-05-01,45.79,65.36,71.85,86.49,81.9,98.22,61.55
2005-06-01,47.58,65.89,71.2,97.56,81.9,97.68,61.51
2005-07-01,52.44,66.44,71.42,101.72,81.9,100.57,61.56
2005-08-01,51.12,66.68,71.42,112.56,81.9,105.54,61.72
2005-09-01,57.62,66.84,71.35,113.76,81.9,103.64,61.82
2005-10-01,54.65,66.83,71.48,108.06,81.9,109.08,62.17
2005-11-01,61.23,66.82,71.63,101.02,81.9,116.01,62.35
2005-12-01,65.1,66.95,71.48,102.86,81.9,126.95,62.3
2006-01-01,66.06,67.16,71.05,113.01,81.9,134.42,62.52
2006-02-01,64.73,67.48,70.7,106.62,81.9,138.37,62.56
2006-03-01,64.16,67.91,71.05,108.97,81.9,137.19,62.7
2006-04-01,67,68.51,71.92,120.7,81.9,147.98,63.14
2006-05-01,62.18,69.21,73.07,122.94,81.9,160.85,63.91
2006-06-01,61.12,69.54,73.62,122.94,78.13,140.49,64.21
2006-07-01,61.25,69.69,73.36,128.83,78.13,141.66,64.08
2006-08-01,63.84,69.85,73.62,126.56,75.01,138.83,64.12
2006-09-01,64.72,70.19,73.99,111.09,72.64,140.12,64.76
2006-10-01,64.4,71.14,74.13,102.01,71,149.86,64.87
2006-11-01,67.59,73.35,73.78,102.72,70.18,152.4,64.97
2006-12-01,67.69,74.71,73.28,107.47,70.18,159.25,64.93
2007-01-01,64.19,75.37,72.85,94.91,70.59,157.86,64.93
2007-02-01,66.89,75.64,73,102.69,72.56,160.12,64.92
2007-03-01,68.55,75.78,73.56,104.92,72.56,155.5,65.13
2007-04-01,72.78,75.88,74.92,110.83,72.56,158.88,66.09
2007-05-01,80.27,75.9,75.21,110.03,73.46,158.18,66.46
2007-06-01,82.28,76,75.21,116.91,73.05,151.22,66.67
2007-07-01,91.23,76.2,75.27,128.29,72.64,154.42,66.92
2007-08-01,88.4,76.35,75.86,125.42,72.64,141.71,66.87
2007-09-01,91.86,76.55,76.57,137.96,73.54,135.07,67.12
2007-10-01,97.44,76.75,76.86,148.87,74.12,137.87,67.31
2007-11-01,89.95,76.95,77.14,164.19,74.12,141.4,67.76
2007-12-01,89.53,77.06,77.14,158.99,75.1,134.39,67.86
2008-01-01,76.67,77.27,77.65,161.09,75.1,138.52,68.1
2008-02-01,80.77,77.51,80.87,165.21,78.13,157.06,68.99
2008-03-01,80.41,78.11,84.24,182.78,79.44,169.88,69.7
2008-04-01,86.15,78.78,88.75,194.63,79.44,167.39,71.36
2008-05-01,87.4,79.26,92.75,217.72,79.44,164.02,72.48
2008-06-01,79.04,79.74,95.63,232.03,79.19,167.38,73.17
2008-07-01,75.26,80.05,100.07,232.09,79.19,173,75.05
2008-08-01,69.57,80.21,100.36,202.18,78.95,155.8,75.46
2008-09-01,68.34,80.4,101.85,180.94,78.78,142.36,75.53
2008-10-01,52.53,80.36,103.07,132.16,78.78,119.68,75.74
2008-11-01,50.78,80.03,100.64,98.7,78.78,104.74,75.37
2008-12-01,53.07,79.45,96.91,70.41,78.78,84.85,74.4
2009-01-01,54.84,79.01,95.92,72.12,81.57,80.11,74.26
2009-02-01,50.17,78.82,96.27,67.71,87.88,75.46,73.95
2009-03-01,56.93,78.68,96.56,83.13,87.8,75.47,73.87
2009-04-01,64.62,78.73,95.63,86.47,87.8,80.75,73.86
2009-05-01,65.87,78.82,94.12,102.67,87.8,82.72,73.38
2009-06-01,65.6,78.96,92.75,120.7,87.8,89.09,72.73
2009-07-01,73.49,79.18,92.97,111.24,87.8,94.22,72.49
2009-08-01,75.12,79.42,93.9,123.11,87.8,108.72,73.23
2009-09-01,78.96,80,94.55,120.24,87.8,103.53,74.04
2009-10-01,74.6,80.3,94.27,131.36,87.8,105.78,74.26
2009-11-01,73.41,80.51,93.9,135.08,87.8,110.35,74.69
2009-12-01,79.41,80.62,94.12,129.3,87.8,123.02,75.11
2010-01-01,75.62,80.72,94.46,135.86,87.8,125.78,75.83
2010-02-01,75.25,80.96,94.63,132.21,87.8,115.8,75.95
2010-03-01,79.89,81.16,95.62,140.75,87.8,124.67,76.38
2010-04-01,82.19,81.32,97.24,146.4,87.8,130.52,76.94
2010-05-01,77.45,81.35,98.59,127.93,87.8,115.32,77.76
2010-06-01,80.15,81.37,99.1,130.54,87.15,108.82,77.88
2010-07-01,83.03,81.28,99.11,131.98,87.15,112.18,78.07
2010-08-01,82.24,81.24,98.97,132.74,87.15,119.03,78.26
2010-09-01,88.38,81.32,99.18,130.41,87.15,122.46,78.46
2010-10-01,88.86,81.49,99.29,141.89,87.15,132.1,78.73
2010-11-01,89.88,81.8,99.48,145.79,87.15,131.07,79.01
2010-12-01,96.79,82.14,100.68,154.83,87.15,132.91,79.33
2011-01-01,97.67,82.52,101.04,155.09,82.88,137.6,79.71
2011-02-01,91.52,83.18,102.32,154.9,82.88,141.86,80.11
2011-03-01,99.42,83.99,103.7,178.34,85.5,144.13,80.65
2011-04-01,103.46,84.69,104,190.84,90.55,150.44,81.06
2011-05-01,101.11,85.28,105.15,175.5,90.55,145.92,81.31
2011-06-01,99.14,85.7,104.92,166.82,90.55,144.25,81.46
2011-07-01,100.67,86.05,105.88,168.19,90.55,142.43,82.54
2011-08-01,88.73,86.47,105.94,149.57,90.55,134.28,82.85
2011-09-01,83.51,86.94,105.95,148.39,90.55,129.35,82.99
2011-10-01,90.09,87.29,105.85,149.71,90.55,122.99,83.01
2011-11-01,87.19,87.63,105.22,168.24,90.55,117.31,82.94
2011-12-01,86.16,87.78,105.35,170.77,90.55,114.17,83.1
2012-01-01,92.3,87.91,105.37,173.42,94.21,121.33,83.25
2012-02-01,95.81,88.06,105.88,177.23,98.1,124.52,83.45
2012-03-01,95.05,88.2,106.43,183.97,100.46,123.18,83.72
2012-04-01,93.53,88.29,106.81,179.02,100.46,115.53,83.93
2012-05-01,87,88.34,106.44,163.77,100.46,112.94,84.36
2012-06-01,87.49,88.3,106.07,142.76,100.46,106.34,84.55
2012-07-01,88.81,88.2,105.38,152.32,100.46,105.82,84.69
2012-08-01,89.91,88.11,104.72,163.06,100.46,103.96,84.53
2012-09-01,94.2,87.98,104.68,164.07,100.46,116.41,84.59
2012-10-01,90.23,87.88,104.14,155.23,100.46,111.35,84.65
2012-11-01,91.22,87.81,103.76,150.24,100.46,109.91,84.6
2012-12-01,94.24,87.75,103.02,152.91,100.46,117.69,84.66
2013-01-01,92.59,87.7,103.26,164.12,100.46,114.92,84.82
2013-02-01,95.63,87.65,103.73,165.12,109.17,115.82,85.14
2013-03-01,94.61,87.62,103.47,161.47,109.17,107.79,85.41
2013-04-01,92.68,87.62,103.19,159.51,100.46,104.96,85.61
2013-05-01,94.43,87.6,102.13,164.19,100.46,103.35,85.76
2013-06-01,87.93,87.57,101.98,165.92,100.46,102.34,85.99
2013-07-01,90.33,87.57,101.47,180.93,100.46,99.8,86.27
2013-08-01,90.91,87.53,101.53,184.41,100.46,102.43,86.32
2013-09-01,94.24,87.58,101.27,184.34,100.46,99.34,86.42
2013-10-01,95.8,87.75,100.94,174.22,100.46,102.34,86.38
2013-11-01,96.5,87.91,100.39,162.6,100.46,98.58,86.12
2013-12-01,94.92,88.08,100.61,169.59,100.46,98.12,86.28
2014-01-01,91.61,88.18,100.37,164.52,100.46,97.42,86.3
2014-02-01,93.44,88.32,100.41,174.48,100.46,95.61,86.54
2014-03-01,93.7,88.57,101.06,174.24,102.18,96.18,86.61
2014-04-01,92.58,88.75,100.68,177.03,106.9,102.12,86.7
2014-05-01,94.15,88.81,99.88,176.72,106.9,98.76,86.85
2014-06-01,94.49,88.87,99.23,182.31,106.9,103.71,87
2014-07-01,97.98,88.96,99.4,178.36,102.82,109.88,87.13
2014-08-01,97.62,89.07,99.41,166.87,102.82,114.52,87.1
2014-09-01,95.33,89.32,99.35,161.59,102.82,112.26,87.19
2014-10-01,92.71,89.58,99.18,146.24,102.82,109.76,87.1
2014-11-01,93.48,89.77,99.23,131.17,102.82,115.93,87.17
2014-12-01,90.4,89.93,98.95,102.46,102.82,107.69,87.23
2015-01-01,91.99,90.05,98.12,82.4,102.82,102.35,87.02
2015-02-01,93.71,90.25,97.38,88.12,102.82,102.52,86.85
2015-03-01,96.32,90.63,97.3,82.78,102.82,100.04,86.91
2015-04-01,100.39,91.08,96.16,94.21,102.82,102.6,86.84
2015-05-01,99.8,91.41,95.95,102.89,102.82,101.75,87
2015-06-01,97.89,91.83,95.96,103.66,102.82,95.19,87.21
2015-07-01,95.81,92.22,95.84,88.7,102.82,92.47,87.25
2015-08-01,91.62,92.58,95.76,74.34,102.82,87.31,87.34
2015-09-01,92.63,93.02,95.26,78.85,102.82,89.65,87.49
2015-10-01,95.77,93.33,94.43,80.16,102.82,85.53,87.5
2015-11-01,94,93.73,93.9,73.79,102.82,82.79,87.47
2015-12-01,92.56,93.9,93.17,64.8,102.56,84.44,87.51
2016-01-01,90.23,93.98,91.99,55.06,102.56,83.53,87.46
2016-02-01,90.45,94.05,91.77,52.63,102.56,86.36,87.59
2016-03-01,94.19,94.08,92.05,65.66,102.56,86.35,88.02
2016-04-01,94.11,94.12,93.14,71.08,102.56,88.62,88.31
2016-05-01,93.6,94.19,93.7,81.15,102.56,87.45,88.74
2016-06-01,92.98,94.26,94.39,84.53,102.56,89.87,88.94
2016-07-01,95.15,94.39,94.45,77.79,102.56,91.88,89.07
2016-08-01,96.02,94.51,93.84,77.53,101.21,92.45,89.1
2016-09-01,96.44,94.64,93.68,78.31,100.78,89.81,89.22
2016-10-01,94.77,94.87,94.09,86.3,100.78,93.95,89.4
2016-11-01,93.6,95.11,95.06,78.78,100.78,97.97,89.97
2016-12-01,95.63,95.17,96.08,90.18,100.78,97.44,90.63
2017-01-01,97.57,95.2,97.86,91.06,100.78,101.02,91.32
2017-02-01,98.71,95.21,98.08,92.6,100.35,104.94,91.74
2017-03-01,101.95,95.23,98.16,85.52,100.35,107.24,91.94
2017-04-01,104.08,95.27,97.7,88.65,100.35,108.35,91.91
2017-05-01,110.78,95.32,97.41,84.13,100.35,107.89,91.96
2017-06-01,112.87,95.48,97.5,78.29,99.79,106.33,92.19
2017-07-01,113.39,95.71,97.65,80.7,99.81,107.32,92.49
2017-08-01,111.52,95.93,98.15,83.25,99.81,114.49,93.17
2017-09-01,113,96.02,99.28,86.17,99.81,118.24,93.86
2017-10-01,119.09,96.13,100.23,89.35,99.81,120.21,94.45
2017-11-01,116.86,96.25,100,98.3,99.81,118.29,94.52
2017-12-01,116.45,96.35,99.99,100.35,98.89,117.34,94.78
2018-01-01,121.12,96.54,100.16,110.15,98.44,124.63,95.1
2018-02-01,114.55,96.74,100.25,107.81,98.04,123.05,95.63
2018-03-01,115.42,96.99,100.28,108.85,97.73,116.7,96
2018-04-01,118.71,97.15,100.49,114.88,97.73,127.16,96.27
2018-05-01,114.35,97.25,100.72,121.1,97.73,129.7,96.64
2018-06-01,109.77,97.34,101.51,117.6,98.87,126.2,97.19
2018-07-01,108.32,97.45,101.62,123.13,100.71,117.44,97.54
2018-08-01,109.62,97.66,101.72,117.69,100.71,115.7,97.87
2018-09-01,110.57,98.62,101.63,121.6,100.71,114.29,98.2
2018-10-01,95.78,99.18,102.12,122.57,100.71,114.48,98.63
2018-11-01,98.95,99.33,101.95,97.35,100.71,109.33,98.92
2018-12-01,96.32,99.4,101.73,84.75,100.71,108.31,99.23
2019-01-01,104.05,99.43,101.29,88.76,100.71,104.55,99.47
2019-02-01,103.61,99.35,101.21,95.29,100.4,105.07,99.95
2019-03-01,101.02,99.25,101.53,100.78,100.24,105.53,100.31
2019-04-01,103.99,99.12,101.6,110.65,100.17,104.08,100.49
2019-05-01,96.35,99.05,101.78,105.23,100.17,100.46,100.74
2019-06-01,100.55,98.97,101.44,94.72,100.17,99.03,100.88
2019-07-01,95.54,98.95,101.28,99.41,100.17,101.35,101.03
2019-08-01,92.86,99.02,101.5,94.99,100.17,98.17,101.38
2019-09-01,97.36,99.07,100.98,98.51,100.17,98.9,101.52
2019-10-01,98.32,99.15,100.54,93.49,100.08,97.34,101.57
2019-11-01,98.53,99.3,100.03,98.2,100.08,100.1,101.65
2019-12-01,103.71,99.64,100.19,103.72,100,99.9,101.87
2020-01-01,100,100,100,100,100,100,102.09
2020-02-01,93.77,100.36,100.18,87.68,99.62,95.21,102.39
2020-03-01,82.8,100.92,99.85,50.8,99.44,90.85,102.43
2020-04-01,91.91,101.16,99.33,29.42,99.16,82.34,102.39
2020-05-01,95.78,101.29,99.38,49.86,99.16,82.7,102.57
2020-06-01,99.5,101.79,99.36,66.37,99.92,88.47,102.85
2020-07-01,106.15,102.69,99.42,70.55,99.92,92.71,103.15
2020-08-01,109.78,103.49,99.47,73.41,99.92,98.05,103.47
2020-09-01,109.86,104.31,99.51,68.61,99.92,98.35,103.7
2020-10-01,106.99,105,99.44,68.28,99.92,101.86,103.82
2020-11-01,122.29,106.51,100.07,71.71,99.92,109.15,104.17
2020-12-01,135.6,107.97,101.95,81.55,106.35,113.62,104.89
2021-01-01,140.45,109.25,104.02,89.83,106.35,113.02,105.87
2021-02-01,142.19,110.73,105.69,102.62,106.35,117.23,106.73
2021-03-01,144.47,112.2,108.33,107.73,106.35,123.54,107.77
2021-04-01,148.55,113.38,112.82,106.41,110,130.81,109.48
2021-05-01,151.2,114.46,116.8,112.89,110,137.32,110.81
2021-06-01,155.58,115.97,119.15,123.67,111.31,137.99,111.72
2021-07-01,151.12,117.33,121.67,125.76,112.69,140.86,112.94
2021-08-01,150.98,119.08,124.55,117.58,113.04,146.81,114.1
2021-09-01,144.82,120.89,125.68,123.94,113.04,159.87,114.84
2021-10-01,140.19,122.16,128.32,140.96,113.04,165.5,116.03
2021-11-01,133.98,123.5,129.06,137.04,113.04,148.69,117.05
2021-12-01,140.52,124.12,129.64,124.39,113.04,152.02,117.69
2022-01-01,125.69,124.47,130.44,144.28,113.04,169.53,118.66
2022-02-01,127.38,124.73,131,158.71,120.38,183.06,119.27
2022-03-01,130.14,124.86,133.54,187.8,131.22,197.3,120.52
2022-04-01,127.18,125.12,137.6,176.7,129.97,183.13,121.89
2022-05-01,126.75,125.43,139.8,190.07,129.97,160.14,122.22
2022-06-01,110.08,125.55,139.83,198.68,129.97,145.26,122.65
2022-07-01,115.69,125.55,139.7,176.58,130.22,135.83,122.62
2022-08-01,116.66,125.38,138.37,162.32,130.22,137.27,122.98
2022-09-01,101.72,125.18,138.23,146.22,134.36,125.47,123.86
2022-10-01,108.24,124.48,138.52,151.23,134.36,127.21,124.24
2022-11-01,116.68,123.11,138.39,145.67,145.3,132.58,124.62
2022-12-01,105.54,121.84,137.66,132.67,146.53,135.26,124.79
2023-01-01,114.44,120.25,138.66,135.57,153.48,140.71,125.29
2023-02-01,113.87,119.31,139.1,133.45,153.48,136.27,125.89
2023-03-01,116.89,118.31,139.59,127.08,153.48,129.52,126.38
2023-04-01,118.05,117.4,140.1,137.09,153.48,131.87,126.76
2023-05-01,121.62,116.72,140.33,124.17,153.48,128.25,126.86
2023-06-01,121.01,116.43,140.23,121.81,153.48,123.22,127.31
2023-07-01,124.24,116.21,140.04,131.27,153.48,121.81,127.49
2023-08-01,120.64,116.14,140.08,140.97,153.48,120.44,127.72
2023-09-01,116.33,116.22,139.75,154.61,153.48,123.21,127.8
2023-10-01,107.5,116.28,139.17,148.08,157.04,123.76,127.96
2023-11-01,119.65,116.28,138.67,134.41,161.31,124.2,128.2
2023-12-01,125.31,116.19,138.48,124.77,162.48,123.63,128.42
2024-01-01,117.84,116.06,139.31,128.21,162.48,124.17,128.51
2024-02-01,124.7,115.97,139.84,134.03,162.48,122.92,128.8
2024-03-01,129.62,115.85,139.92,141.04,162.48,125.74,129.38
2024-04-01,127.04,115.81,140.49,147.87,162.48,140.95,129.98
